name,description,type,constellation,size,ra,dec,mag
IC 994,,Galaxy,Boötes,1.46,14 18 22.63,+11 11 42.6,
IC 995,,Galaxy,Ursa Major,1.67,14 16 31.11,+57 48 36.4,
IC 996,,Galaxy,Ursa Major,1.35,14 17 22.07,+57 37 47.5,
IC 997,,Galaxy Pair,Virgo,1.50,14 19 59.25,-04 27 04.5,
IC 997 NED01,,Galaxy,Virgo,1.41,14 19 59.25,-04 27 04.3,
IC 997 NED02,,Galaxy,Virgo,1.00,14 19 59.75,-04 27 08.3,
IC 998,,Galaxy,Virgo,0.93,14 20 19.29,-04 24 59.2,
IC 999,,Galaxy,Boötes,0.85,14 19 32.67,+17 52 31.1,
IC 1000,,Galaxy,Boötes,1.01,14 19 40.31,+17 51 16.9,
IC 1001,,Galaxy,Virgo,0.81,14 20 39.67,+05 25 38.5,
IC 1002,,Galaxy,Virgo,0.59,14 20 42.28,+05 29 08.8,
IC 1003,,Galaxy,Virgo,1.04,14 21 29.76,+05 04 23.5,
IC 1004,,Galaxy,Boötes,0.95,14 21 02.28,+17 42 02.1,
IC 1005,NGC 5607,Duplicate,Ursa Minor,,14 19 26.70,+71 35 17.6,
IC 1006,,Galaxy,Boötes,0.89,14 22 59.10,+23 47 39.6,
IC 1007,,Galaxy,Virgo,0.75,14 24 36.59,+04 33 33.0,
IC 1008,IC 4414,Galaxy Pair,Boötes,0.80,14 23 42.59,+28 20 52.3,
IC 1008 NED01,IC 4414A,Galaxy,Boötes,0.57,14 23 42.26,+28 20 45.9,
IC 1008 NED02,IC 4414B,Galaxy,Boötes,0.86,14 23 43.15,+28 20 50.7,
IC 1009,,Galaxy,Boötes,0.87,14 26 17.60,+12 21 10.5,
IC 1010,,Galaxy,Virgo,1.52,14 27 20.36,+01 01 33.1,
IC 1011,,Galaxy,Virgo,0.84,14 28 04.53,+01 00 22.7,
IC 1012,IC 4431,Galaxy,Boötes,1.09,14 27 09.50,+30 56 53.6,
IC 1013,,Galaxy,Boötes,0.95,14 27 58.86,+25 51 58.8,
IC 1014,,Galaxy,Boötes,2.00,14 28 18.43,+13 46 48.8,
IC 1015,,GTrpl,Boötes,1.00,14 28 19.15,+15 25 12.4,
IC 1015 NED01,,Galaxy,Boötes,0.59,14 28 18.88,+15 24 58.9,
IC 1015 NED02,,Galaxy,Boötes,0.72,14 28 19.71,+15 25 19.0,
IC 1015 NED03,,Galaxy,Boötes,0.74,14 28 19.26,+15 25 16.2,
IC 1016,NGC 5619B,Duplicate,Virgo,,14 27 32.37,+04 49 17.8,
IC 1017,,Galaxy,Boötes,1.07,14 28 07.23,+25 52 07.6,
IC 1018,,Galaxy,Boötes,0.57,14 28 12.80,+25 49 49.9,
IC 1019,,Galaxy,Boötes,0.60,14 28 13.48,+25 56 50.7,
IC 1020,,Galaxy,Boötes,1.06,14 28 49.49,+26 01 56.2,
IC 1021,,Galaxy,Boötes,0.62,14 29 17.13,+20 39 16.3,
IC 1022,,Galaxy,Virgo,0.97,14 30 01.84,+03 46 22.3,
IC 1023,,Open Cluster,Centaurus,5.10,14 32 25.14,-35 48 12.9,
IC 1024,,Galaxy,Virgo,1.11,14 31 27.20,+03 00 32.7,
IC 1025,,Galaxy,Virgo,0.58,14 31 28.28,+07 03 50.1,
IC 1026,NGC 5653,Duplicate,Boötes,,14 30 10.42,+31 12 55.8,
IC 1027,,Galaxy,Boötes,1.35,14 29 48.50,+53 57 54.1,
IC 1028,,Galaxy,Boötes,1.04,14 33 16.43,+41 39 01.4,
IC 1029,,Galaxy,Boötes,2.78,14 32 27.26,+49 54 16.6,11.29
IC 1030,NGC 5672,Duplicate,Boötes,,14 32 38.34,+31 40 12.6,
IC 1031,,Galaxy,Boötes,0.79,14 34 23.98,+48 02 14.8,
IC 1032,,Galaxy,Boötes,0.65,14 34 39.48,+47 58 04.7,
IC 1033,,Galaxy,Boötes,1.05,14 34 41.75,+47 56 16.1,
IC 1034,,Galaxy,Boötes,0.59,14 37 13.73,+14 39 54.5,
IC 1035,,Galaxy,Boötes,1.07,14 38 10.21,+09 20 09.7,
IC 1036,,Galaxy,Boötes,0.58,14 38 22.79,+18 06 40.4,
IC 1037,,Galaxy,Boötes,0.99,14 38 25.37,+18 11 02.5,
IC 1038,,Galaxy,Boötes,0.63,14 39 27.43,+11 55 43.1,
IC 1039,,Galaxy,Virgo,0.68,14 40 29.40,+03 25 57.9,
IC 1040,,Galaxy,Boötes,0.50,14 40 22.73,+09 28 34.1,
IC 1041,,Galaxy,Virgo,0.87,14 40 37.90,+03 22 37.3,
IC 1042,,Galaxy,Virgo,1.13,14 40 39.02,+03 28 11.0,
IC 1043,,Galaxy,Virgo,0.74,14 40 43.35,+03 22 26.5,
IC 1044,,Galaxy,Boötes,1.51,14 41 29.02,+09 25 51.3,
IC 1045,NGC 5731,Duplicate,Boötes,,14 40 09.21,+42 46 46.4,
IC 1046,,Galaxy,Ursa Minor,0.78,14 37 53.42,+69 00 52.1,
IC 1047,,Galaxy,Boötes,0.72,14 42 19.97,+19 11 30.6,
IC 1048,,Galaxy,Virgo,2.08,14 42 58.00,+04 53 22.1,
IC 1049,,Galaxy,Draco,0.92,14 39 33.12,+62 00 10.6,
IC 1050,,Galaxy,Boötes,0.83,14 44 07.12,+18 00 45.5,
IC 1051,,Galaxy,Boötes,0.74,14 44 11.59,+19 01 12.8,
IC 1052,,Galaxy,Boötes,1.02,14 44 14.11,+20 36 50.4,
IC 1053,,Galaxy,Boötes,0.55,14 45 43.23,+16 56 48.9,
IC 1054,,Galaxy,Virgo,1.03,14 46 31.24,+01 16 29.1,
IC 1055,IC 4491,Galaxy,Libra,2.26,14 47 25.69,-13 42 58.1,
IC 1056,IC 1057,Galaxy,Boötes,1.51,14 45 49.05,+50 23 38.6,
IC 1057,IC 1056,Duplicate,Boötes,,14 45 49.05,+50 23 38.6,
IC 1058,,Galaxy,Boötes,1.49,14 49 12.39,+17 01 15.4,
IC 1059,,Galaxy,Libra,0.88,14 50 42.56,-00 52 32.9,
IC 1060,,Galaxy,Libra,1.22,14 51 47.35,-07 13 57.5,
IC 1061,,Galaxy,Boötes,0.49,14 51 14.24,+18 45 27.2,
IC 1062,,Galaxy,Boötes,0.94,14 51 17.66,+18 41 13.1,
IC 1063,,Galaxy,Virgo,0.74,14 52 11.02,+04 40 55.4,
IC 1065,,Galaxy,Draco,0.88,14 49 21.57,+63 16 14.0,13.71
IC 1066,,Galaxy,Virgo,1.21,14 53 02.86,+03 17 45.7,
IC 1067,,Galaxy,Virgo,1.82,14 53 05.25,+03 19 54.4,
IC 1068,,Galaxy,Virgo,0.92,14 53 32.92,+03 04 38.3,
IC 1069,,Galaxy,Boötes,1.47,14 50 46.52,+54 24 40.2,
IC 1070,,Galaxy,Virgo,0.78,14 53 51.28,+03 29 04.8,
IC 1071,,Galaxy,Virgo,1.09,14 54 12.50,+04 45 00.1,
IC 1072,,Galaxy,Virgo,0.87,14 54 13.14,+04 50 29.6,
IC 1073,,Galaxy,Virgo,0.52,14 54 14.35,+04 47 39.8,
IC 1074,,Galaxy,Boötes,0.92,14 51 57.32,+51 15 53.6,
IC 1075,,Galaxy,Boötes,1.19,14 54 49.25,+18 06 21.5,
IC 1076,,Galaxy,Boötes,0.91,14 54 59.62,+18 02 14.4,13.69
IC 1077,,Galaxy,Libra,1.31,14 57 21.72,-19 12 49.3,
IC 1078,,Galaxy,Boötes,0.99,14 56 29.02,+09 21 16.3,
IC 1079,,Galaxy,Boötes,1.46,14 56 36.16,+09 22 11.1,
IC 1080,,Galaxy,Libra,1.22,14 57 59.82,-06 43 23.9,
IC 1081,,Galaxy,Libra,1.66,14 58 55.06,-19 14 20.7,
IC 1082,,Galaxy,Virgo,0.86,14 58 52.49,+07 00 26.3,
IC 1083,,Galaxy,Ursa Minor,0.72,14 55 33.41,+68 24 30.9,
IC 1084,,Galaxy,Libra,0.87,15 01 14.88,-07 28 29.7,14.23
IC 1085,,Galaxy,Boötes,0.94,15 02 43.37,+17 15 09.1,
IC 1086,,Galaxy,Boötes,0.69,15 03 29.17,+17 06 51.9,
IC 1087,,Galaxy,Virgo,0.74,15 06 43.89,+03 46 36.6,
IC 1088,,*,Virgo,,15 06 47.42,+03 47 30.7,
IC 1089,,Galaxy,Virgo,0.97,15 07 25.99,+07 07 00.3,
IC 1090,,Other,Boötes,,15 05 43.15,+42 40 56.5,
IC 1091,,Galaxy,Libra,1.09,15 08 13.51,-11 08 27.3,
IC 1092,,Galaxy,Boötes,1.01,15 07 36.12,+09 21 29.6,
IC 1093,,Galaxy,Boötes,1.00,15 07 35.64,+14 32 52.8,
IC 1094,,GTrpl,Boötes,0.80,15 07 42.20,+14 37 30.0,
IC 1094 NED01,,Galaxy,Boötes,0.55,15 07 41.81,+14 37 18.8,
IC 1094 NED02,,Galaxy,Boötes,0.54,15 07 42.19,+14 37 40.7,
IC 1094 NED03,,Galaxy,Boötes,0.52,15 07 42.59,+14 37 36.3,
IC 1095,,Galaxy,Boötes,0.65,15 08 35.05,+13 40 14.2,
IC 1096,,Galaxy,Boötes,0.56,15 08 21.57,+19 11 31.6,
IC 1097,,Galaxy,Boötes,0.91,15 08 31.30,+19 11 03.6,
IC 1098,,*,Draco,,15 06 25.24,+55 36 06.0,
IC 1099,,Galaxy,Draco,1.12,15 06 54.65,+56 30 32.4,
IC 1100,NGC 5881,Duplicate,Draco,,15 06 20.82,+62 58 51.5,
IC 1101,,Galaxy,Virgo,1.20,15 10 56.10,+05 44 41.2,
IC 1102,,Galaxy,Virgo,1.04,15 11 04.95,+04 17 37.9,15.50
IC 1103,,Galaxy,Se1,0.91,15 11 35.87,+19 12 28.0,
IC 1104,,*,Libra,,15 12 49.88,-05 03 20.2,
IC 1105,,Galaxy,Se1,0.95,15 13 13.91,+04 17 15.2,
IC 1106,,Galaxy,Se1,0.91,15 13 56.28,+04 42 39.5,
IC 1107,,Galaxy,Se1,0.70,15 14 08.96,+04 42 51.9,
IC 1108,NGC 5882,Duplicate,Lupus,,15 16 50.00,-45 38 57.5,
IC 1109,,Galaxy,Se1,0.81,15 17 03.98,+05 15 22.0,
IC 1110,,Galaxy,Ursa Minor,1.26,15 12 05.07,+67 21 45.3,
IC 1111,NGC 5876,Duplicate,Boötes,,15 09 31.56,+54 30 23.4,
IC 1112,,Galaxy,Se1,1.02,15 17 47.35,+07 13 05.8,
IC 1113,,Galaxy,Se1,0.87,15 18 15.11,+12 29 19.2,
IC 1114,,*,Ursa Minor,,15 11 25.69,+75 25 36.1,
IC 1115,,**,Libra,,15 22 19.02,-04 28 25.9,
IC 1116,,Galaxy,Se1,1.07,15 21 55.27,+08 25 25.6,
IC 1117,,Galaxy,Se1,0.73,15 24 22.90,+15 29 18.9,
IC 1118,IC 4543,Galaxy,Se1,1.23,15 24 59.53,+13 26 42.3,
IC 1119,,Galaxy Pair,Se1,1.00,15 25 44.28,-03 39 22.7,
IC 1119 NED01,,Galaxy,Se1,0.52,15 25 44.15,-03 39 14.2,
IC 1119 NED02,,Galaxy,Se1,0.62,15 25 44.62,-03 39 29.0,
IC 1120,,Galaxy,Se1,0.67,15 26 11.04,+18 52 20.4,
IC 1121,,Galaxy,Se1,1.05,15 27 44.06,+06 48 14.0,
IC 1122,,Galaxy,Se1,0.60,15 29 23.07,+07 37 02.7,
IC 1123,,*,Boötes,,15 28 54.11,+42 53 54.7,
IC 1124,,Galaxy,Se1,1.10,15 30 00.87,+23 38 18.3,
IC 1125,IC 1128,Galaxy,Se1,1.61,15 33 05.61,-01 37 41.7,
IC 1126,,*,Se1,,15 35 00.82,+04 59 25.5,
IC 1127,IC 4553,Duplicate,Se1,,15 34 57.25,+23 30 11.3,
IC 1128,IC 1125,Duplicate,Se1,,15 33 05.61,-01 37 41.7,
IC 1129,,Galaxy,Ursa Minor,1.01,15 32 00.82,+68 14 46.8,13.50
IC 1130,,Galaxy,Se1,0.74,15 37 44.03,+17 14 39.9,
IC 1131,,Galaxy,Se1,0.85,15 38 51.70,+12 04 50.3,
IC 1132,,Galaxy,Se1,1.05,15 40 06.76,+20 40 50.2,
IC 1133,,Galaxy,Se1,1.27,15 41 11.99,+15 34 24.3,
IC 1134,,Galaxy,Se1,0.87,15 44 58.50,+16 57 43.6,
IC 1135,,Galaxy,Se1,0.85,15 45 34.71,+17 42 00.3,
IC 1136,,Galaxy,Se1,0.75,15 47 34.39,-01 32 43.0,
IC 1137,,Galaxy,Se1,0.86,15 48 32.60,+08 35 16.5,
IC 1138,,Galaxy,Corona Borealis,1.04,15 48 15.77,+26 12 22.4,
IC 1139,,Galaxy,Ursa Minor,0.65,15 29 26.10,+82 35 01.9,
IC 1140,,Other,Se1,,15 49 25.26,+19 06 48.4,
IC 1141,,Galaxy,Se1,0.47,15 49 46.94,+12 23 57.6,
IC 1142,,Galaxy,Se1,1.03,15 50 25.92,+18 08 22.5,
IC 1143,,Galaxy,Ursa Minor,1.45,15 30 55.96,+82 27 20.8,
IC 1144,,Galaxy,Hercules,0.74,15 51 21.69,+43 25 03.6,
IC 1145,,Galaxy,Ursa Minor,1.45,15 44 08.55,+72 25 52.2,
IC 1146,,Galaxy,Draco,1.29,15 48 22.08,+69 23 08.1,
IC 1147,,Galaxy,Draco,0.45,15 50 11.61,+69 33 36.2,
IC 1148,NGC 6020,Duplicate,Se1,,15 57 08.14,+22 24 16.5,
IC 1149,,Galaxy,Se1,1.07,15 58 07.98,+12 04 13.0,
IC 1150,,Other,Se1,,15 58 18.56,+15 52 28.3,
IC 1151,,Galaxy,Se1,2.23,15 58 32.34,+17 26 29.3,12.92
IC 1152,,Galaxy,Hercules,1.15,15 56 43.32,+48 05 42.0,
IC 1153,,Galaxy,Hercules,1.20,15 57 03.01,+48 10 06.2,
IC 1154,,Galaxy,Ursa Minor,1.77,15 52 28.61,+70 22 30.3,
IC 1155,,Galaxy,Se1,0.79,16 00 35.76,+15 41 08.3,14.35
IC 1156,,Galaxy,Hercules,1.10,16 00 37.36,+19 43 23.6,13.44
IC 1157,,Galaxy,Se1,0.82,16 00 56.26,+15 31 35.2,
IC 1158,,Galaxy,Se1,1.89,16 01 34.08,+01 42 28.2,13.09
IC 1159,,Galaxy,Se1,0.76,16 01 01.46,+15 25 11.9,
IC 1160,,Galaxy,Se1,0.77,16 01 02.51,+15 29 40.9,
IC 1161,,Galaxy,Se1,0.71,16 01 16.82,+15 38 43.5,
IC 1162,,Galaxy,Hercules,0.72,16 01 16.33,+17 40 40.2,14.68
IC 1163,,Galaxy,Se1,0.79,16 01 30.55,+15 30 14.1,
IC 1164,,*,Ursa Minor,,15 55 02.71,+70 35 13.1,
IC 1165,,Galaxy Pair,Hercules,0.90,16 02 08.20,+15 41 38.0,
IC 1165 NED01,,Galaxy,Hercules,0.69,16 02 08.03,+15 41 47.6,
IC 1165 NED02,,Galaxy,Hercules,0.63,16 02 08.64,+15 41 35.4,
IC 1166,,Galaxy Pair,Corona Borealis,0.60,16 02 08.90,+26 19 38.0,
IC 1166 NED01,,Galaxy,Corona Borealis,0.53,16 02 08.92,+26 19 45.6,16.77
IC 1166 NED02,,Galaxy,Corona Borealis,0.41,16 02 08.83,+26 19 31.2,
IC 1167,,Galaxy,Se1,0.62,16 03 52.86,+14 56 47.2,
IC 1168,,Galaxy,Se1,1.32,16 03 55.69,+14 54 08.7,
IC 1169,,Galaxy,Se1,1.06,16 04 13.43,+13 44 38.5,
IC 1170,,Galaxy,Hercules,0.50,16 04 31.69,+17 43 17.3,
IC 1171,,*,Hercules,,16 04 51.84,+17 58 41.6,
IC 1172,NGC 6044,Duplicate,Hercules,,16 04 59.68,+17 52 13.3,
IC 1173,,Galaxy,Hercules,0.92,16 05 12.56,+17 25 22.3,14.57
IC 1174,,Galaxy,Se1,1.03,16 05 26.82,+15 01 31.2,
IC 1175,,**,Hercules,,16 05 22.62,+18 09 47.2,
IC 1176,NGC 6056,Duplicate,Hercules,,16 05 31.28,+17 57 49.1,
IC 1177,,Galaxy,Hercules,0.54,16 05 19.79,+18 18 55.3,
IC 1178,,Galaxy,Hercules,1.34,16 05 33.12,+17 36 05.2,13.92
IC 1179,NGC 6050B,Duplicate,Hercules,,16 05 22.22,+17 45 15.1,
IC 1180,,*,Hercules,,16 05 30.11,+18 08 58.8,
IC 1181,,Galaxy,Hercules,1.01,16 05 33.85,+17 35 37.3,14.79
IC 1182,,Galaxy,Hercules,0.84,16 05 36.80,+17 48 07.7,14.65
IC 1183,NGC 6054,Duplicate,Hercules,,16 05 38.15,+17 46 04.4,
IC 1184,,Other,Hercules,,16 05 42.80,+17 47 24.0,
IC 1185,,Galaxy,Hercules,0.74,16 05 44.69,+17 43 01.3,13.84
IC 1186,,Galaxy,Hercules,0.78,16 05 44.22,+17 21 43.8,14.69
IC 1187,,Galaxy,Ursa Minor,0.35,15 59 10.18,+70 33 25.1,
IC 1188,,Galaxy Pair,Hercules,0.70,16 06 07.68,+17 27 36.0,
IC 1188A,,Galaxy,Hercules,0.55,16 06 07.30,+17 27 38.9,
IC 1188B,,Galaxy,Hercules,0.28,16 06 08.28,+17 27 41.9,
IC 1189,,Galaxy,Hercules,0.79,16 06 14.83,+18 10 58.4,14.43
IC 1190,,Galaxy,Hercules,1.28,16 05 52.41,+18 13 13.9,14.68
IC 1191,,Galaxy Pair,Hercules,0.70,16 06 28.75,+18 16 04.4,
IC 1191 NED01,,Galaxy,Hercules,0.71,16 06 28.99,+18 16 04.3,
IC 1191 NED02,,Galaxy,Hercules,0.40,16 06 29.70,+18 16 04.3,
IC 1192,,Galaxy,Hercules,0.91,16 06 33.13,+17 46 32.3,14.89
IC 1193,,Galaxy,Hercules,0.78,16 06 32.20,+17 42 49.9,14.38
IC 1194,,Galaxy,Hercules,0.64,16 06 39.35,+17 45 40.3,14.30
IC 1195,,Galaxy,Hercules,0.61,16 06 40.88,+17 11 30.5,14.83
IC 1196,,Galaxy,Se1,1.04,16 07 58.37,+10 46 46.7,
IC 1197,,Galaxy,Se1,2.56,16 08 17.27,+07 32 18.6,
IC 1198,,Galaxy,Se1,0.79,16 08 36.37,+12 19 51.4,14.94
IC 1199,,Galaxy,Se1,1.19,16 10 34.35,+10 02 25.3,
IC 1200,NGC 6079,Duplicate,Ursa Minor,,16 04 29.21,+69 39 56.8,
IC 1201,,Galaxy,Draco,0.68,16 05 41.65,+69 35 37.7,
IC 1202,NGC 6081,Duplicate,Hercules,,16 12 56.86,+09 52 01.6,
IC 1203,,*Ass,Scorpius,3.50,16 15 16.00,-22 22 14.1,
IC 1204,,Galaxy,Ursa Minor,0.65,16 07 15.48,+69 55 53.3,
IC 1205,,Galaxy,Hercules,0.69,16 14 15.92,+09 32 13.9,
IC 1206,,Galaxy,Hercules,1.12,16 15 13.07,+11 17 50.6,
IC 1207,,*Ass,Scorpius,2.00,16 19 26.72,-29 39 04.0,
IC 1208,,Galaxy,Corona Borealis,1.25,16 15 47.89,+36 31 38.4,
IC 1209,,Galaxy,Hercules,1.36,16 18 39.62,+15 33 30.1,
IC 1210,,Galaxy,Draco,1.38,16 14 30.15,+62 32 12.1,14.56
IC 1211,,Galaxy,Draco,1.34,16 16 51.98,+53 00 21.7,
IC 1212,,Galaxy,Draco,0.77,16 15 30.75,+64 13 29.3,
IC 1213,NGC 6172,Duplicate,Se1,,16 22 10.30,-01 30 53.5,
IC 1214,,Galaxy,Draco,1.05,16 16 11.70,+65 58 07.6,
IC 1215,,Galaxy,Draco,0.91,16 15 35.13,+68 23 51.6,13.70
IC 1216,,Galaxy,Draco,0.75,16 15 55.38,+68 20 59.6,
IC 1217,,Other,Draco,,16 16 04.10,+69 40 35.4,
IC 1218,,Galaxy,Draco,0.92,16 16 37.10,+68 12 09.5,15.30
IC 1219,,Galaxy,Hercules,1.31,16 24 27.45,+19 28 57.3,
IC 1220,,Galaxy,Hercules,1.24,16 29 38.30,+08 27 02.6,
IC 1221,,Galaxy,Hercules,1.00,16 34 41.63,+46 23 31.4,
IC 1222,,Galaxy,Hercules,1.51,16 35 09.20,+46 12 50.1,13.37
IC 1223,,Galaxy,Hercules,0.82,16 35 42.46,+49 13 13.9,
IC 1224,,Galaxy,Hercules,1.28,16 42 56.29,+19 15 15.7,
IC 1225,,Galaxy,Draco,1.37,16 36 52.52,+67 37 45.9,
IC 1226,IC 1232,Galaxy,Hercules,0.57,16 41 06.57,+46 00 14.6,
IC 1227,NGC 6206,Duplicate,Draco,,16 40 07.90,+58 37 02.5,
IC 1228,,Galaxy,Draco,1.32,16 42 06.48,+65 35 07.8,
IC 1229,,Galaxy,Draco,0.44,16 44 58.82,+51 18 29.1,
IC 1230,,Galaxy Pair,Hercules,0.92,16 45 01.48,+51 15 34.5,
IC 1231,,Galaxy,Draco,1.88,16 46 59.02,+58 25 23.4,13.20
IC 1232,IC 1226,Duplicate,Hercules,,16 41 06.57,+46 00 14.6,
IC 1233,NGC 6247,Duplicate,Draco,,16 48 20.24,+62 58 35.1,
IC 1234,,*,Draco,,16 52 50.91,+56 52 40.0,
IC 1235,,Galaxy,Draco,0.76,16 52 03.63,+63 06 56.9,
IC 1236,,Galaxy,Hercules,1.17,16 58 29.60,+20 02 29.3,13.64
IC 1237,,Galaxy,Draco,1.97,16 56 16.05,+55 01 35.3,
IC 1238,,**,Hercules,,17 00 30.15,+23 04 36.3,
IC 1239,NGC 6276,Duplicate,Hercules,,17 00 45.09,+23 02 38.4,
IC 1240,,Other,Draco,,17 00 58.87,+61 03 01.6,
IC 1241,,Galaxy,Draco,1.16,17 01 28.22,+63 41 28.0,13.72
IC 1242,,Galaxy,Ophiuchus,0.84,17 08 42.88,+04 02 59.6,
IC 1243,,Other,Ophiuchus,,17 10 24.55,+10 45 59.8,
IC 1244,,Galaxy,Hercules,1.13,17 10 33.71,+36 18 11.9,
IC 1245,,Galaxy,Hercules,1.85,17 12 36.60,+38 01 13.6,
IC 1246,,*,Hercules,,17 14 12.28,+20 14 14.3,
IC 1247,,*,Ophiuchus,,17 16 22.14,-12 46 51.2,
IC 1248,,Galaxy,Draco,0.82,17 11 40.18,+59 59 44.2,
IC 1249,,Galaxy,Hercules,0.24,17 14 55.12,+35 31 12.4,
IC 1250,,Galaxy,Draco,0.59,17 14 29.17,+57 25 00.4,
IC 1251,,Galaxy,Draco,1.21,17 10 12.90,+72 24 37.8,
IC 1252,IC 4649,Galaxy,Draco,1.06,17 15 50.38,+57 22 00.5,
IC 1253,NGC 6347,Duplicate,Hercules,,17 19 54.67,+16 39 38.5,
IC 1254,,Galaxy,Draco,0.91,17 11 33.41,+72 24 07.2,13.95
IC 1255,,Galaxy,Ophiuchus,0.98,17 23 05.39,+12 41 43.6,
IC 1256,,Galaxy,Hercules,1.28,17 23 47.31,+26 29 11.5,13.55
IC 1257,,Globular Cluster,Ophiuchus,3.30,17 27 08.38,-07 05 35.1,
IC 1258,,Galaxy,Draco,0.91,17 27 17.38,+58 29 07.7,
IC 1259,,Galaxy Pair,Draco,0.90,17 27 25.80,+58 31 00.0,
IC 1259 NED01,,Galaxy,Draco,0.91,17 27 24.71,+58 31 00.9,
IC 1259 NED02,,Galaxy,Draco,1.11,17 27 26.78,+58 30 59.6,
IC 1260,,Galaxy,Draco,0.42,17 27 31.72,+58 28 33.1,
IC 1261,,Galaxy Pair,Draco,1.10,17 23 23.36,+71 15 49.1,
IC 1261 NED01,,Galaxy,Draco,0.84,17 23 26.12,+71 15 46.1,
IC 1261 NED02,,Galaxy,Draco,0.69,17 23 20.88,+71 15 51.7,
IC 1262,,Galaxy,Hercules,1.64,17 33 02.02,+43 45 34.6,13.65
IC 1263,,Galaxy,Hercules,1.63,17 33 07.20,+43 49 19.5,
IC 1264,,Galaxy,Hercules,1.37,17 33 16.84,+43 37 45.2,
IC 1265,,Galaxy,Hercules,1.85,17 36 39.43,+42 05 18.3,
IC 1266,,Planetary Nebula,Ara,0.16,17 45 35.30,-46 05 23.5,11.20
IC 1267,,Galaxy,Draco,1.38,17 38 45.89,+59 22 23.3,13.42
IC 1268,,Galaxy,Hercules,0.66,17 50 39.29,+17 12 34.0,
IC 1269,,Galaxy,Hercules,1.32,17 52 06.00,+21 34 10.7,12.82
IC 1270,,*,Draco,,17 47 57.00,+62 13 24.4,
IC 1271,,Nebula,Sagittarius,,18 05 13.11,-24 24 37.9,
IC 1272,,Other,Hercules,,18 04 55.75,+25 07 45.1,
IC 1273,,**,Hercules,,18 05 02.75,+25 07 55.6,
IC 1274,,HII Emission Nebula,Sagittarius,20.00,18 09 51.03,-23 38 53.6,
IC 1275,,Nebula,Sagittarius,,18 10 07.19,-23 45 40.4,
IC 1276,,Globular Cluster,Se2,9.60,18 10 44.27,-07 12 27.3,
IC 1277,,Galaxy,Hercules,0.98,18 10 27.29,+31 00 11.4,
IC 1278,,Other,Hercules,,18 10 41.65,+31 08 59.7,
IC 1279,,Galaxy,Hercules,2.34,18 11 15.38,+36 00 28.0,
IC 1280,NGC 6581,Duplicate,Hercules,,18 12 18.42,+25 39 44.5,
IC 1281,,Galaxy Pair,Hercules,1.30,18 11 38.10,+35 59 32.0,
IC 1281 NED01,,Galaxy,Hercules,0.54,18 11 38.02,+35 59 14.7,
IC 1281 NED02,,Galaxy,Hercules,0.57,18 11 38.16,+35 59 50.1,
IC 1282,,Other,Hercules,,18 14 05.25,+21 06 07.9,
IC 1283,,HII Emission Nebula,Sagittarius,15.00,18 17 16.85,-19 45 44.0,
IC 1284,,Nebula,Sagittarius,16.98,18 17 39.63,-19 40 19.3,
IC 1285,,Other,Hercules,,18 16 10.17,+25 06 01.2,
IC 1286,,Galaxy,Draco,1.42,18 16 14.27,+55 35 27.6,
IC 1287,,Reflection Nebula,Scutum,20.00,18 31 25.69,-10 47 44.9,
IC 1288,,Galaxy,Lyra,1.09,18 29 22.46,+39 42 48.1,
IC 1289,,Galaxy,Lyra,0.66,18 30 02.29,+39 57 50.5,
IC 1290,,*Ass,Sagittarius,,18 38 35.31,-24 05 48.6,
IC 1291,,Galaxy,Draco,1.33,18 33 52.57,+49 16 43.0,13.03
IC 1292,,Other,Sagittarius,,18 44 40.45,-27 48 58.6,
IC 1293,,Other,Draco,,18 41 36.65,+56 19 04.0,
IC 1294,,Other,Lyra,,18 49 50.45,+40 12 33.8,
IC 1295,,Planetary Nebula,Scutum,1.50,18 54 37.13,-08 49 37.3,12.50
IC 1296,,Galaxy,Lyra,0.99,18 53 18.83,+33 03 59.7,
IC 1297,,Planetary Nebula,Corona Australis,0.12,19 17 23.40,-39 36 47.0,10.70
IC 1298,,Other,Aquila,,19 18 35.69,-01 35 46.3,
IC 1299,,Open Cluster,Vulpecula,2.00,19 22 42.03,+20 44 22.4,
IC 1300,NGC 6798,Duplicate,Cygnus,,19 24 03.17,+53 37 29.2,
IC 1301,IC 4867,Galaxy,Cygnus,1.44,19 26 31.98,+50 07 31.0,
IC 1302,,Galaxy,Cygnus,0.95,19 30 52.89,+35 47 06.9,13.35
IC 1303,,Galaxy,Cygnus,1.18,19 31 30.06,+35 52 35.8,
IC 1304,,*Ass,Cygnus,,19 35 34.49,+41 06 42.6,
IC 1305,,Other,Vulpecula,,19 39 17.10,+20 11 39.4,
IC 1306,,*Ass,Cygnus,,19 41 41.19,+37 41 06.7,
IC 1307,,*Ass,Vulpecula,,19 42 32.10,+27 45 09.5,
IC 1308,,HII Emission Nebula,Sagittarius,,19 45 05.24,-14 43 12.9,
IC 1309,,Galaxy,Sagittarius,0.87,20 03 01.52,-17 13 55.5,
IC 1310,,Cl+N Emission Nebula,Cygnus,15.00,20 10 00.98,+34 58 08.0,
IC 1311,,Open Cluster,Cygnus,6.30,20 10 47.82,+41 10 26.2,13.10
IC 1312,,Other,Sagitta,,20 16 51.50,+18 02 45.5,
IC 1313,,Galaxy,Capricornus,1.61,20 18 43.66,-16 56 45.5,
