name,description,type,constellation,size,ra,dec,mag
NGC 1,,Galaxy,Pegasus,1.57,00 07 15.84,+27 42 29.1,12.93
NGC 2,,Galaxy,Pegasus,0.95,00 07 17.11,+27 40 42.1,14.17
NGC 3,,Galaxy,Pisces,1.02,00 07 16.80,+08 18 05.9,13.40
NGC 4,,Galaxy,Pisces,0.53,00 07 24.41,+08 22 25.6,
NGC 5,,Galaxy,Andromeda,0.98,00 07 48.87,+35 21 44.3,
NGC 6,NGC 20,Galaxy,Andromeda,1.73,00 09 32.70,+33 18 31.2,
NGC 7,,Galaxy,Sculptor,2.47,00 08 20.96,-29 54 54.0,13.84
NGC 8,,**,Pegasus,,00 08 45.30,+23 50 20.0,15.32
NGC 9,,Galaxy,Pegasus,0.70,00 08 54.70,+23 49 01.1,
NGC 10,,Galaxy,Sculptor,2.35,00 08 34.54,-33 51 30.0,12.49
NGC 11,,Galaxy,Andromeda,1.44,00 08 42.50,+37 26 52.5,
NGC 12,,Galaxy,Pisces,1.52,00 08 44.75,+04 36 45.1,13.18
NGC 13,,Galaxy,Andromeda,2.28,00 08 47.72,+33 26 00.0,
NGC 14,,Galaxy,Pegasus,1.53,00 08 46.40,+15 48 56.0,12.44
NGC 15,,Galaxy,Pegasus,1.07,00 09 02.47,+21 37 28.3,
NGC 16,,Galaxy,Pegasus,1.74,00 09 04.29,+27 43 45.9,12.00
NGC 17,NGC 34,Galaxy,Cetus,1.15,00 11 06.55,-12 06 26.3,13.52
NGC 18,,**,Pegasus,,00 09 23.10,+27 43 55.5,
NGC 19,,Galaxy,Andromeda,1.21,00 10 40.87,+32 58 59.1,
NGC 20,NGC 6,Duplicate,Andromeda,,00 09 32.70,+33 18 31.2,
NGC 21,NGC 29,Galaxy,Andromeda,1.38,00 10 46.90,+33 21 10.2,
NGC 22,,Galaxy,Pegasus,1.21,00 09 48.19,+27 49 56.3,
NGC 23,,Galaxy,Pegasus,1.55,00 09 53.41,+25 55 25.6,11.98
NGC 24,,Galaxy,Sculptor,6.18,00 09 56.54,-24 57 47.3,11.52
NGC 25,,Galaxy,Phoenix,1.43,00 09 59.28,-57 01 15.0,15.50
NGC 26,,Galaxy,Pegasus,1.12,00 10 25.87,+25 49 54.6,
NGC 27,,Galaxy,Andromeda,1.22,00 10 32.77,+28 59 46.5,
NGC 28,,Galaxy,Phoenix,0.92,00 10 25.24,-56 59 20.9,
NGC 29,NGC 21,Duplicate,Andromeda,,00 10 46.90,+33 21 10.2,
NGC 30,,**,Pegasus,,00 10 50.79,+21 58 37.1,
NGC 31,,Galaxy,Phoenix,1.17,00 10 38.39,-56 59 11.4,
NGC 32,,*,Pegasus,,00 10 53.59,+18 47 45.6,
NGC 33,,**,Pisces,,00 10 56.64,+03 40 33.3,
NGC 34,NGC 17,Duplicate,Cetus,,00 11 06.55,-12 06 26.3,
NGC 35,,Galaxy,Cetus,0.76,00 11 10.48,-12 01 15.3,
NGC 36,,Galaxy,Pisces,2.14,00 11 22.30,+06 23 21.7,
NGC 37,,Galaxy,Phoenix,1.11,00 11 22.93,-56 57 26.4,
NGC 38,,Galaxy,Pisces,1.14,00 11 46.99,-05 35 10.6,
NGC 39,,Galaxy,Andromeda,1.10,00 12 18.86,+31 03 39.9,
NGC 40,,Planetary Nebula,Cepheus,0.80,00 13 01.03,+72 31 19.0,11.89
NGC 41,,Galaxy,Pegasus,0.94,00 12 47.97,+22 01 24.2,
NGC 42,,Galaxy,Pegasus,0.86,00 12 56.35,+22 06 01.1,
NGC 43,,Galaxy,Andromeda,1.39,00 13 00.75,+30 54 55.0,
NGC 44,,**,Andromeda,,00 13 13.40,+31 17 10.5,
NGC 45,,Galaxy,Cetus,6.18,00 14 03.99,-23 10 55.5,10.44
NGC 46,,*,Pisces,,00 14 09.86,+05 59 15.7,11.68
NGC 47,NGC 58,Galaxy,Cetus,1.35,00 14 30.64,-07 10 02.8,
NGC 48,,Galaxy,Andromeda,1.34,00 14 02.19,+48 14 05.5,
NGC 49,,Galaxy,Andromeda,0.93,00 14 22.43,+48 14 47.8,
NGC 50,,Galaxy,Cetus,2.04,00 14 44.57,-07 20 42.3,
NGC 51,,Galaxy,Andromeda,1.40,00 14 34.92,+48 15 20.5,
NGC 52,,Galaxy,Pegasus,2.26,00 14 40.11,+18 34 55.3,
NGC 53,,Galaxy,Tucana,1.54,00 14 42.85,-60 19 43.5,12.64
NGC 54,,Galaxy,Cetus,1.35,00 15 07.67,-07 06 24.2,
NGC 55,,Galaxy,Sculptor,29.85,00 14 53.60,-39 11 47.9,8.54
NGC 56,,Other,Pisces,,00 15 20.66,+12 26 40.3,
NGC 57,,Galaxy,Pisces,2.11,00 15 30.87,+17 19 42.7,11.65
NGC 58,NGC 47,Duplicate,Cetus,,00 14 30.64,-07 10 02.8,
NGC 59,,Galaxy,Cetus,2.38,00 15 25.13,-21 26 39.8,12.45
NGC 60,,Galaxy,Pisces,1.03,00 15 58.24,-00 18 12.7,14.86
NGC 61,,Galaxy Pair,Cetus,1.50,00 16 24.20,-06 19 10.0,
NGC 61A,,Galaxy,Cetus,1.48,00 16 24.34,-06 19 18.9,
NGC 61B,,Galaxy,Cetus,1.34,00 16 24.07,-06 19 07.9,
NGC 62,,Galaxy,Cetus,0.99,00 17 05.42,-13 29 13.6,
NGC 63,,Galaxy,Pisces,1.72,00 17 45.52,+11 27 01.2,12.53
NGC 64,,Galaxy,Cetus,1.38,00 17 30.37,-06 49 28.6,
NGC 65,,Galaxy,Cetus,1.02,00 18 58.71,-22 52 49.3,
NGC 66,,Galaxy,Cetus,1.24,00 19 04.94,-22 56 11.0,
NGC 67,NGC 67A,Galaxy,Andromeda,0.49,00 18 12.19,+30 03 19.9,
NGC 68,,Galaxy,Andromeda,1.29,00 18 18.49,+30 04 18.3,
NGC 69,,Galaxy,Andromeda,0.60,00 18 20.51,+30 02 23.9,14.71
NGC 70,IC 1539,Galaxy,Andromeda,1.69,00 18 22.54,+30 04 46.5,14.50
NGC 71,,Galaxy,Andromeda,1.95,00 18 23.58,+30 03 47.7,14.09
NGC 72,,Galaxy,Andromeda,1.16,00 18 28.37,+30 02 26.5,13.56
NGC 72A,,Galaxy,Andromeda,0.38,00 18 34.3,+30 02 11,14.64
NGC 73,,Galaxy,Cetus,1.68,00 18 39.01,-15 19 20.1,
NGC 74,,Galaxy,Andromeda,0.83,00 18 49.34,+30 03 43.1,
NGC 75,,Galaxy,Pisces,1.82,00 19 26.33,+06 26 57.7,
NGC 76,,Galaxy,Andromeda,1.28,00 19 37.79,+29 56 01.9,
NGC 77,,Galaxy,Cetus,0.48,00 20 01.65,-22 31 55.6,
NGC 78,,Galaxy Pair,Pisces,1.90,00 20 26.60,+00 49 47.0,
NGC 78A,,Galaxy,Pisces,1.17,00 20 25.79,+00 49 34.8,13.72
NGC 78B,,Galaxy,Pisces,1.00,00 20 27.51,+00 50 00.8,13.50
NGC 79,,Galaxy,Andromeda,0.79,00 21 02.85,+22 33 59.7,
NGC 80,,Galaxy,Andromeda,1.82,00 21 10.85,+22 21 25.9,12.30
NGC 81,,Galaxy,Andromeda,0.41,00 21 13.27,+22 22 58.4,
NGC 82,,*,Andromeda,,00 21 17.55,+22 27 37.3,
NGC 83,,Galaxy,Andromeda,1.25,00 21 22.40,+22 26 01.0,12.55
NGC 84,,*,Andromeda,,00 21 21.25,+22 37 10.9,
NGC 85,NGC 85A,Galaxy,Andromeda,0.69,00 21 25.53,+22 30 42.4,
NGC 85B,IC 1546,Galaxy,Andromeda,1.06,00 21 29.0,+22 30 21,
NGC 86,,Galaxy,Andromeda,0.75,00 21 28.57,+22 33 23.1,
NGC 87,,Galaxy,Phoenix,0.86,00 21 14.27,-48 37 41.6,14.26
NGC 88,,Galaxy,Phoenix,0.85,00 21 22.12,-48 38 24.6,14.41
NGC 89,,Galaxy,Phoenix,1.24,00 21 24.36,-48 39 55.1,13.49
NGC 90,,Galaxy,Andromeda,0.98,00 21 51.40,+22 24 00.0,13.77
NGC 91,,*,Andromeda,,00 21 51.72,+22 22 06.1,
NGC 92,,Galaxy,Phoenix,1.65,00 21 31.70,-48 37 29.1,13.19
NGC 93,,Galaxy,Andromeda,1.30,00 22 03.23,+22 24 29.1,13.27
NGC 94,,Galaxy,Andromeda,0.51,00 22 13.53,+22 28 59.0,
NGC 95,,Galaxy,Pisces,1.46,00 22 13.54,+10 29 29.7,12.61
NGC 96,,Galaxy,Andromeda,0.68,00 22 17.71,+22 32 46.5,
NGC 97,,Galaxy,Andromeda,1.32,00 22 30.00,+29 44 43.3,
NGC 98,,Galaxy,Phoenix,1.62,00 22 49.54,-45 16 08.4,12.70
NGC 99,,Galaxy,Pisces,1.05,00 23 59.39,+15 46 13.5,13.78
NGC 100,,Galaxy,Pisces,3.55,00 24 02.84,+16 29 11.0,13.21
NGC 101,,Galaxy,Sculptor,1.93,00 23 54.61,-32 32 10.2,12.84
NGC 102,,Galaxy,Cetus,0.94,00 24 36.53,-13 57 22.9,
NGC 103,,Open Cluster,Cassiopeia,2.70,00 25 16.40,+61 19 24.5,9.80
NGC 104,,Globular Cluster,Tucana,31.80,00 24 05.36,-72 04 53.2,4.09
NGC 105,,Galaxy,Pisces,0.81,00 25 16.78,+12 53 01.9,13.20
NGC 106,,Galaxy,Pisces,0.93,00 24 43.75,-05 08 55.5,
NGC 107,,Galaxy,Cetus,0.78,00 25 42.20,-08 16 58.1,
NGC 108,,Galaxy,Andromeda,1.69,00 25 59.73,+29 12 43.4,
NGC 109,,Galaxy,Andromeda,1.05,00 26 14.64,+21 48 26.3,13.74
NGC 110,,Open Cluster,Cassiopeia,3.90,00 27 25.01,+71 23 29.5,
NGC 111,,Other,Cetus,,00 26 38.41,-02 37 29.9,
NGC 112,,Galaxy,Andromeda,1.02,00 26 48.73,+31 42 11.9,
NGC 113,,Galaxy,Cetus,1.23,00 26 54.64,-02 30 03.2,
NGC 114,,Galaxy,Cetus,0.98,00 26 58.23,-01 47 10.5,
NGC 115,,Galaxy,Sculptor,2.09,00 26 46.28,-33 40 37.5,
NGC 116,,Galaxy,Cetus,1.08,00 27 05.23,-07 40 05.7,
NGC 117,,Galaxy,Cetus,1.00,00 27 11.07,+01 20 01.4,
NGC 118,,Galaxy,Cetus,0.80,00 27 16.22,-01 46 48.5,14.83
NGC 119,,Galaxy,Phoenix,1.20,00 26 57.61,-56 58 41.0,15.70
NGC 120,,Galaxy,Cetus,1.51,00 27 30.08,-01 30 48.5,
NGC 121,,Globular Cluster,Tucana,3.80,00 26 48.25,-71 32 08.4,11.24
NGC 122,,*,Cetus,,00 27 38.33,-01 38 25.7,
NGC 123,,*,Cetus,,00 27 39.99,-01 37 39.5,
NGC 124,,Galaxy,Cetus,1.26,00 27 52.36,-01 48 36.7,
NGC 125,,Galaxy,Pisces,1.40,00 28 50.19,+02 50 19.9,12.34
NGC 126,,Galaxy,Pisces,0.71,00 29 08.10,+02 48 40.0,
NGC 127,,Galaxy,Pisces,0.93,00 29 12.37,+02 52 21.7,
NGC 128,,Galaxy,Pisces,3.16,00 29 15.06,+02 51 50.6,11.63
NGC 129,,Open Cluster,Cassiopeia,5.40,00 29 58.19,+60 12 40.2,6.50
NGC 130,,Galaxy,Pisces,0.72,00 29 18.55,+02 52 13.6,
NGC 131,,Galaxy,Sculptor,1.81,00 29 38.52,-33 15 35.1,13.21
NGC 132,,Galaxy,Cetus,1.60,00 30 10.71,+02 05 36.4,
NGC 133,,Open Cluster,Cassiopeia,2.10,00 31 16.96,+63 21 09.4,9.40
NGC 134,,Galaxy,Sculptor,8.38,00 30 21.97,-33 14 38.5,10.31
NGC 135,IC 26,Galaxy,Cetus,0.66,00 31 45.94,-13 20 14.9,
NGC 136,,Open Cluster,Cassiopeia,3.30,00 31 30.79,+61 30 33.3,
NGC 137,,Galaxy,Pisces,1.38,00 30 58.10,+10 12 30.3,12.79
NGC 138,,Galaxy,Pisces,1.25,00 30 59.24,+05 09 35.1,
NGC 139,,Galaxy,Pisces,0.77,00 31 06.40,+05 04 43.5,
NGC 140,,Galaxy,Andromeda,0.87,00 31 20.47,+30 47 33.0,
NGC 141,,Galaxy,Pisces,0.86,00 31 17.44,+05 10 47.1,
NGC 142,,Galaxy,Cetus,0.97,00 31 08.08,-22 37 07.2,
NGC 143,,Galaxy,Cetus,1.06,00 31 15.62,-22 33 35.8,
NGC 144,,Galaxy,Cetus,0.82,00 31 20.67,-22 38 44.6,
NGC 145,,Galaxy,Cetus,1.76,00 31 45.74,-05 09 09.5,12.75
NGC 146,,Open Cluster,Cassiopeia,3.60,00 33 03.94,+63 18 32.4,9.10
NGC 147,,Galaxy,Cassiopeia,9.40,00 33 12.12,+48 30 31.5,9.72
NGC 148,,Galaxy,Sculptor,1.98,00 34 15.50,-31 47 09.6,12.16
NGC 149,,Galaxy,Andromeda,0.91,00 33 50.26,+30 43 24.3,
NGC 150,,Galaxy,Sculptor,3.54,00 34 15.48,-27 48 12.9,11.41
NGC 151,NGC 153,Galaxy,Cetus,3.74,00 34 02.79,-09 42 19.2,11.66
NGC 152,,Open Cluster,Tucana,3.00,00 32 52.46,-73 07 13.4,12.26
NGC 153,NGC 151,Duplicate,Cetus,,00 34 02.79,-09 42 19.2,
NGC 154,,Galaxy,Cetus,1.01,00 34 19.47,-12 39 22.7,
NGC 155,,Galaxy,Cetus,1.49,00 34 40.08,-10 45 59.4,
NGC 156,,**,Cetus,,00 34 35.82,-08 20 24.2,
NGC 157,,Galaxy,Cetus,3.70,00 34 46.76,-08 23 47.2,13.11
NGC 158,,**,Cetus,,00 35 05.60,-08 20 44.6,
NGC 159,,Galaxy,Phoenix,1.40,00 34 35.53,-55 47 23.9,
NGC 160,,Galaxy,Andromeda,1.98,00 36 04.06,+23 57 28.4,12.66
NGC 161,,Galaxy,Cetus,1.36,00 35 33.94,-02 50 55.3,
NGC 162,,*,Andromeda,,00 36 09.26,+23 57 44.7,
NGC 163,,Galaxy,Cetus,1.43,00 35 59.83,-10 07 18.1,12.74
NGC 164,,Galaxy,Pisces,0.53,00 36 32.91,+02 44 59.2,
NGC 165,,Galaxy,Cetus,1.63,00 36 28.92,-10 06 22.2,13.19
NGC 166,,Galaxy,Cetus,0.89,00 35 48.78,-13 36 38.3,
NGC 167,,Galaxy,Cetus,0.97,00 35 23.09,-23 22 30.0,
NGC 168,,Galaxy,Cetus,1.31,00 36 38.66,-22 35 36.6,
NGC 169,,Galaxy,Andromeda,1.53,00 36 51.60,+23 59 27.3,13.10
NGC 169A,IC 1559,Galaxy,Andromeda,0.83,00 36 52.33,+23 59 05.9,13.68
NGC 170,,Galaxy,Cetus,0.70,00 36 45.82,+01 53 11.3,
NGC 171,NGC 175,Galaxy,Cetus,2.06,00 37 21.53,-19 56 03.3,12.25
NGC 172,,Galaxy,Cetus,2.04,00 37 13.61,-22 35 13.3,13.52
NGC 173,,Galaxy,Cetus,2.09,00 37 12.47,+01 56 32.1,
NGC 174,,Galaxy,Sculptor,1.57,00 36 58.94,-29 28 40.2,
NGC 175,NGC 171,Duplicate,Cetus,,00 37 21.53,-19 56 03.3,
NGC 176,,Open Cluster,Tucana,1.20,00 35 57.87,-73 09 59.0,13.01
NGC 177,,Galaxy,Cetus,2.11,00 37 34.34,-22 32 57.3,
NGC 178,IC 39,Galaxy,Cetus,2.11,00 39 08.40,-14 10 22.2,12.57
NGC 179,,Galaxy,Cetus,1.12,00 37 46.28,-17 50 58.1,13.21
NGC 180,,Galaxy,Pisces,2.20,00 37 57.70,+08 38 06.7,
NGC 181,,Galaxy,Andromeda,0.86,00 38 23.21,+29 28 21.3,
NGC 182,,Galaxy,Pisces,1.86,00 38 12.38,+02 43 42.8,12.57
NGC 183,,Galaxy,Andromeda,1.02,00 38 29.39,+29 30 40.4,12.74
NGC 184,,Galaxy,Andromeda,0.73,00 38 35.78,+29 26 51.4,
NGC 185,,Galaxy,Cassiopeia,12.94,00 38 57.97,+48 20 14.6,9.20
NGC 186,,Galaxy,Pisces,1.39,00 38 25.30,+03 09 59.2,
NGC 187,,Galaxy,Cetus,1.53,00 39 30.41,-14 39 22.7,
NGC 188,,Open Cluster,Cepheus,17.70,00 47 27.53,+85 16 10.7,8.10
NGC 189,,Open Cluster,Cassiopeia,2.70,00 39 35.70,+61 05 40.1,8.80
NGC 190,,Galaxy Pair,Pisces,1.10,00 38 54.70,+07 03 35.0,
NGC 190 NED01,NGC 190N,Galaxy,Pisces,0.93,00 38 54.68,+07 03 45.7,
NGC 190 NED02,NGC 190S,Galaxy,Pisces,0.72,00 38 54.73,+07 03 24.2,
NGC 191,,Galaxy,Cetus,1.00,00 38 59.44,-09 00 09.4,
NGC 191A,IC 1563,Galaxy,Cetus,0.87,00 39 00.24,-09 00 52.5,
NGC 192,,Galaxy,Cetus,2.06,00 39 13.43,+00 51 51.6,12.64
NGC 193,,Galaxy,Pisces,2.07,00 39 18.59,+03 19 52.0,12.30
NGC 194,,Galaxy,Pisces,1.73,00 39 18.42,+03 02 14.8,12.13
NGC 195,,Galaxy,Cetus,1.22,00 39 35.79,-09 11 40.3,13.45
NGC 196,,Galaxy,Cetus,1.27,00 39 17.84,+00 54 45.9,13.49
NGC 197,,Galaxy,Cetus,0.94,00 39 18.79,+00 53 30.9,13.53
NGC 198,,Galaxy,Pisces,1.28,00 39 22.98,+02 47 52.5,
NGC 199,,Galaxy,Pisces,1.14,00 39 33.17,+03 08 18.7,
NGC 200,,Galaxy,Pisces,1.80,00 39 34.88,+02 53 14.8,12.65
NGC 201,,Galaxy,Cetus,1.71,00 39 34.82,+00 51 35.6,12.99
NGC 202,,Galaxy,Pisces,0.96,00 39 39.85,+03 32 10.6,
NGC 203,NGC 211,Galaxy,Pisces,0.98,00 39 39.53,+03 26 34.4,
NGC 204,,Galaxy,Pisces,1.40,00 39 44.27,+03 17 58.5,12.96
NGC 205,,Galaxy,Andromeda,16.22,00 40 22.08,+41 41 07.1,8.15
NGC 206,,*Ass,Andromeda,,00 40 31.30,+40 44 21.4,
NGC 207,,Galaxy,Cetus,0.91,00 39 40.71,-14 14 13.5,
NGC 208,,Galaxy,Pisces,0.77,00 40 17.58,+02 45 23.4,
NGC 209,,Galaxy,Cetus,1.14,00 39 03.60,-18 36 29.8,
NGC 210,,Galaxy,Cetus,4.98,00 40 35.02,-13 52 22.1,11.12
NGC 211,NGC 203,Duplicate,Pisces,,00 39 39.53,+03 26 34.4,
NGC 212,,Galaxy,Phoenix,1.91,00 40 13.33,-56 09 10.9,15.40
NGC 213,,Galaxy,Pisces,1.44,00 41 10.00,+16 28 09.8,
NGC 214,,Galaxy,Andromeda,1.87,00 41 28.03,+25 29 58.0,12.21
NGC 215,,Galaxy,Phoenix,1.15,00 40 48.87,-56 12 50.6,
NGC 216,,Galaxy,Cetus,1.35,00 41 27.15,-21 02 43.6,13.21
NGC 217,,Galaxy,Cetus,3.20,00 41 33.89,-10 01 17.1,12.10
NGC 218,,Galaxy,Andromeda,1.32,00 46 31.99,+36 19 32.2,
NGC 219,,Galaxy,Cetus,0.59,00 42 11.31,+00 54 16.4,
NGC 220,,Open Cluster,Tucana,1.20,00 40 29.89,-73 24 14.3,14.39
NGC 221,,Galaxy,Andromeda,7.74,00 42 41.83,+40 51 55.0,8.13
NGC 222,,Open Cluster,Tucana,1.20,00 40 43.71,-73 23 08.5,12.64
NGC 223,IC 44,Galaxy,Cetus,1.18,00 42 15.88,+00 50 43.8,
NGC 224,,Galaxy,Andromeda,177.83,00 42 44.35,+41 16 08.6,3.44
NGC 225,,Open Cluster,Cassiopeia,4.20,00 43 36.38,+61 46 01.0,7.00
NGC 226,,Galaxy,Andromeda,0.79,00 42 54.04,+32 34 51.5,
NGC 227,,Galaxy,Cetus,1.91,00 42 36.83,-01 31 43.6,12.16
NGC 228,,Galaxy,Andromeda,0.89,00 42 54.51,+23 30 11.0,
NGC 229,,Galaxy,Andromeda,1.08,00 43 04.64,+23 30 32.8,
NGC 230,,Galaxy,Cetus,1.30,00 42 27.17,-23 37 43.7,
NGC 231,,Open Cluster,Tucana,1.80,00 41 06.43,-73 21 08.7,12.87
NGC 232,NGC 232W,Galaxy,Cetus,0.98,00 42 45.82,-23 33 40.9,
NGC 233,,Galaxy,Andromeda,1.25,00 43 36.56,+30 35 13.2,
NGC 234,,Galaxy,Pisces,1.57,00 43 32.39,+14 20 33.2,
NGC 235,,Galaxy Pair,Cetus,2.00,00 42 53.20,-23 32 36.0,
NGC 235A,NGC 232E,Galaxy,Cetus,1.38,00 42 52.81,-23 32 27.7,13.55
NGC 235B,,Galaxy,Cetus,1.29,00 42 53.60,-23 32 44.0,
NGC 236,,Galaxy,Pisces,1.15,00 43 27.54,+02 57 29.5,
NGC 237,,Galaxy,Cetus,1.30,00 43 27.84,-00 07 29.7,13.60
NGC 238,,Galaxy,Phoenix,2.02,00 43 25.75,-50 10 58.2,12.51
NGC 239,,Galaxy,Cetus,0.94,00 44 37.51,-03 45 33.3,
NGC 240,,Galaxy,Pisces,1.35,00 45 01.93,+06 06 48.1,
NGC 241,,Open Cluster,Tucana,0.95,00 43 31.53,-73 26 25.7,
NGC 242,,Open Cluster,Tucana,0.75,00 43 33.78,-73 26 46.7,
NGC 243,,Galaxy,Andromeda,0.92,00 46 00.87,+29 57 34.2,
NGC 244,,Galaxy,Cetus,1.04,00 45 46.43,-15 35 48.8,
NGC 245,,Galaxy,Cetus,1.20,00 46 05.39,-01 43 24.2,12.35
NGC 246,,Planetary Nebula,Cetus,4.08,00 47 03.36,-11 52 19.0,10.90
NGC 247,,Galaxy,Cetus,19.68,00 47 08.55,-20 45 37.4,9.21
NGC 247A,,Galaxy,Cetus,0.52,00 47 28.14,-20 23 51.5,
NGC 247B,,Galaxy,Cetus,1.05,00 47 35.15,-20 25 43.3,
NGC 247C,,Galaxy Pair,Cetus,0.55,00 47 37.71,-20 27 10.1,
NGC 247D,,Galaxy,Cetus,0.61,00 47 36.99,-20 29 09.6,
NGC 248,,Cl+N Emission Nebula,Tucana,1.40,00 45 24.04,-73 22 47.3,
NGC 249,,HII Emission Nebula,Tucana,1.10,00 45 32.86,-73 04 48.3,
NGC 250,,Galaxy,Pisces,1.28,00 47 16.01,+07 54 36.1,
NGC 251,,Galaxy,Pisces,1.73,00 47 54.03,+19 35 48.6,12.60
NGC 252,,Galaxy,Andromeda,1.62,00 48 01.50,+27 37 25.1,12.49
NGC 253,,Galaxy,Sculptor,26.79,00 47 33.12,-25 17 17.6,11.11
NGC 254,,Galaxy,Sculptor,2.77,00 47 27.61,-31 25 18.3,11.67
NGC 255,,Galaxy,Cetus,2.04,00 47 47.31,-11 28 07.3,11.93
NGC 256,,Open Cluster,Tucana,0.90,00 45 53.33,-73 30 24.6,12.50
NGC 257,,Galaxy,Pisces,1.83,00 48 01.51,+08 17 49.5,12.62
NGC 258,,Galaxy,Andromeda,0.51,00 48 12.79,+27 39 25.9,
NGC 259,,Galaxy,Cetus,2.86,00 48 03.29,-02 46 31.2,
NGC 260,,Galaxy,Andromeda,0.76,00 48 34.65,+27 41 32.8,
NGC 261,,Nebula,Tucana,1.30,00 46 27.91,-73 06 13.1,
NGC 262,,Galaxy,Andromeda,1.17,00 48 47.14,+31 57 25.1,14.38
NGC 263,,Galaxy,Cetus,0.80,00 48 48.47,-13 06 26.6,
NGC 264,,Galaxy,Sculptor,1.26,00 48 20.94,-38 14 03.7,
NGC 265,,Open Cluster,Tucana,1.20,00 47 10.16,-73 28 37.8,12.17
NGC 266,,Galaxy,Pisces,2.92,00 49 47.80,+32 16 39.8,11.82
NGC 267,,Open Cluster,Tucana,2.00,00 48 02.90,-73 16 26.5,
NGC 268,,Galaxy,Cetus,1.42,00 50 09.56,-05 11 37.4,13.03
NGC 269,,Open Cluster,Tucana,1.20,00 48 22.03,-73 31 53.5,12.59
NGC 270,,Galaxy,Cetus,1.77,00 50 32.52,-08 39 05.9,
NGC 271,,Galaxy,Cetus,2.38,00 50 41.86,-01 54 36.9,
NGC 272,,Open Cluster,Andromeda,,00 51 25.16,+35 49 18.3,
NGC 273,,Galaxy,Cetus,1.96,00 50 48.45,-06 53 08.5,12.92
NGC 274,,Galaxy,Cetus,1.27,00 51 01.86,-07 03 25.0,
NGC 275,,Galaxy,Cetus,1.75,00 51 04.20,-07 04 00.0,12.43
NGC 276,IC 1591,Galaxy,Cetus,1.10,00 52 06.57,-22 40 48.5,
NGC 277,,Galaxy,Cetus,1.34,00 51 17.23,-08 35 48.6,
NGC 278,,Galaxy,Cassiopeia,2.36,00 52 04.31,+47 33 01.8,10.85
NGC 279,,Galaxy,Cetus,1.41,00 52 08.95,-02 13 06.4,
NGC 280,,Galaxy,Andromeda,1.00,00 52 30.26,+24 21 02.1,
NGC 281,IC 11,HII Emission Nebula,Cassiopeia,35.00,00 52 59.35,+56 37 18.8,
NGC 282,,Galaxy,Pisces,1.25,00 52 42.15,+30 38 20.6,
NGC 283,,Galaxy,Cetus,1.14,00 53 13.21,-13 09 50.0,
NGC 284,,Galaxy,Cetus,0.62,00 53 24.27,-13 09 31.9,
NGC 285,,Galaxy,Cetus,0.76,00 53 29.89,-13 09 38.6,
NGC 286,,Galaxy,Cetus,0.88,00 53 30.38,-13 06 46.0,
NGC 287,,Galaxy,Pisces,0.83,00 53 28.29,+32 28 56.3,
NGC 288,,Globular Cluster,Sculptor,9.60,00 52 47.45,-26 35 23.6,8.13
NGC 289,,Galaxy,Sculptor,3.36,00 52 42.36,-31 12 21.0,11.18
NGC 290,,Open Cluster,Tucana,1.10,00 51 14.18,-73 09 41.5,11.71
NGC 291,,Galaxy,Cetus,0.98,00 53 29.92,-08 46 04.1,14.64
NGC 292,,Galaxy,Tucana,299.92,00 52 44.78,-72 49 43.0,2.30
NGC 293,,Galaxy,Cetus,1.12,00 54 15.96,-07 14 07.7,
NGC 294,,Open Cluster,Tucana,1.70,00 53 04.71,-73 22 49.3,12.24
NGC 295,,Galaxy,Pisces,0.59,00 59 32.28,+31 47 53.0,
NGC 296,,Galaxy,Pisces,2.23,00 55 07.51,+31 32 32.2,12.29
NGC 297,,Galaxy,Cetus,0.35,00 54 58.94,-07 20 58.8,
NGC 298,,Galaxy,Cetus,1.47,00 55 02.35,-07 19 59.1,
NGC 299,,Open Cluster,Tucana,0.90,00 53 24.07,-72 11 49.6,11.73
NGC 300,,Galaxy,Sculptor,19.41,00 54 53.48,-37 41 03.8,8.66
NGC 301,,Galaxy,Cetus,0.64,00 56 18.35,-10 40 26.0,
NGC 302,,*,Cetus,,00 56 25.31,-10 39 47.6,
NGC 303,,Galaxy,Cetus,0.73,00 54 54.71,-16 39 16.6,
NGC 304,,Galaxy,Andromeda,1.17,00 56 06.02,+24 07 36.8,12.67
NGC 305,,Other,Pisces,,00 56 20.92,+12 03 54.4,
NGC 306,,Open Cluster,Tucana,1.10,00 54 14.18,-72 14 32.4,12.07
NGC 307,,Galaxy,Cetus,1.61,00 56 32.58,-01 46 19.0,12.79
NGC 308,,*,Cetus,,00 56 34.22,-01 47 02.1,
NGC 309,,Galaxy,Cetus,2.23,00 56 42.66,-09 54 49.9,12.17
NGC 310,,*,Cetus,,00 56 47.98,-01 45 56.8,
NGC 311,,Galaxy,Pisces,1.36,00 57 32.73,+30 16 50.7,13.00
NGC 312,,Galaxy,Phoenix,1.84,00 56 15.93,-52 46 57.7,12.39
NGC 313,,Other,Pisces,,00 57 45.64,+30 21 57.9,
NGC 314,,Galaxy,Sculptor,1.00,00 56 52.41,-31 57 46.7,
NGC 315,,Galaxy,Pisces,2.86,00 57 48.88,+30 21 08.8,11.60
NGC 316,,*,Pisces,,00 57 52.45,+30 21 15.5,
NGC 317,,Galaxy Pair,Andromeda,1.83,00 57 39.7,+43 47 47.0,
