name,description,type,constellation,size,ra,dec,mag
NGC 6302,Butterfly Nebula,Planetary Nebula,Scorpius,3.0,17 13 44,-37 06 12,
NGC 6334,Cat's Paw Nebula,Emission Nebula,Scorpius,60.0,17 20 49,-36 06 12,
NGC 6337,Cheerio,Planetary Nebula,Scorpius,2.0,17 22 16,-38 29 00,12.0
NGC 6357,Lobster or War and Peace Nebula,Wolf-Rayet Nebula,Scorpius,50.0,17 24 43,-34 12 06,
NGC 6520,NGC 6520,Open Cluster,Sagittarius,6.0,18 03 24,-27 53 18,7.6
NGC 6543,Cat's Eye Nebula,Planetary Nebula,Draco,8.0,17 58 33,+66 37 59,11.3
NGC 660,Polar Ring Galaxy,Galaxy,Pisces,9.1,01 43 02,13 38 39,11.2
NGC 6726,Anteater Neb. or Bernes 157,Reflection Nebula,Corona Australis,9.0,19 01 38,-36 53 30,
NGC 6781,Snowglobe Nebula or Ghost of the Moon,Planetary Nebula,Aquila,2.0,19 18 28,06 32 20,11.8
NGC 6820,Ced170,Emission Nebula,Vulpecula,40.0,19 42 28,23 05 10,
NGC 6826,The Blinking Eye,Planetary Nebula,Cygnus,2.3,19 44 48,+50 31 30,9.4
NGC 6888,Crescent Nebula,Wolf-Rayet Nebula,Cygnus,20.0,20 12 06,38 21 17,10.0
NGC 6910,Inchworm Cluster,Open Cluster,Cygnus,8.0,20 23 12,40 46 42,7.4
NGC 6946,Fireworks Galaxy,Galaxy,Cygnus,11.0,20 34 52,60 09 14,9.0
NGC 6960,Western Veil or Witch's Broom,Supernova Remnant,Cygnus,70.0,20 45 58,30 35 42,
NGC 6979,Pickering`s Triangle,Supernova Remnant,Cygnus,60.0,20 50 28,32 01 36,
NGC 6992,Eastern Veil Nebula,Supernova Remnant,Cygnus,60.0,20 56 19,31 44 36,
NGC 7000,North America Nebula,Emission Nebula,Cygnus,120.0,20 59 17,44 31 00,
NGC 7008,Fetus Nebula,Planetary Nebula,Cygnus,1.4,21 00 33,+54 32 35,
NGC 7009,Saturn Nebula,Planetary Nebula,Aquarius,1.7,21 04 11,-11 21 50,12.1
NGC 7023,Iris Nebula,Reflection Nebula,Cepheus,60.0,21 01 36,68 10 10,7.1
NGC 7293,Helix Nebula,Planetary Nebula,Aquarius,13.0,22 29 38,-20 50 13,13.5
NGC 7331,Deer Lick Galaxy Group,Galaxy,Pegasus,25.0,22 37 04,+34 24 57,9.5
NGC 7380,Wizard Nebula,Emission Nebula,Cepheus,25.0,22 47 21,58 07 54,
NGC 7606,Cyclops Galaxy,Galaxy,Aquila,5.8,23 19 05,-08 29 09,
NGC 7635,Bubble Nebula,Emission Nebula,Cassiopeia,15.0,23 20 45,61 12 42,
NGC 772,Fiddlehead or Nautilus Galaxy,Galaxy,Aries,7.0,01 59 20,19 00 29,10.3
NGC 7789,Caroline's Rose,Open Cluster,Cassiopeia,25.0,23 57 24,56 42 30,6.7
NGC 7822,Ced214,Emission Nebula,Cepheus,60.0,00 03 36,67 09 00,
NGC 869,Double Cluster Duo,Open Cluster,Perseus,60.0,02 19 00,+57 07 42,
NGC 891,Outer Limits Galaxy,Galaxy,Andromeda,14.0,02 22 33,42 20 54,9.9
OU 4,Squid Nebula or Flying Bat (SH2-129),Emission Nebula,Cepheus,60.0,21 11 47,59 57 01,
Red Rectangle,HD 44179,Preplanetary Nebula,Monoceros,0.2,06 19 58,-10 38 15,9.0
Rho Ophiuchi,ρ Ophiuchi,Emission Nebula,Ophiuchus,300.0,16 25 35,-23 26 50,4.6
Sh2-003,Sh2-3,Emission Nebula,Scorpius,6.0,17 12 25,-38 27 34,
Sh2-054,Nest Nebula,Emission Nebula,Serpens,120.0,18 17 52,-11 40 58,
Sh2-101,Tulip Nebula,Emission Nebula,Cygnus,20.0,19 59 55,35 16 36,
Sh2-103,Cygnus Loop,Supernova Remnant,Cygnus,180.0,20 51 21,31 10 00,
Sh2-106,Hourglass Nebula,Emission Nebula,Cygnus,3.0,20 27 27,37 22 49,
Sh2-112,Hermit Crab,Emission Nebula,Cygnus,15.0,20 33 49,45 38 00,
Sh2-114,Flying Dragon Nebula,Emission Nebula,Cygnus,60.0,21 21 12,38 42 00,
Sh2-132,Lion Nebula,Wolf-Rayet Nebula,Cepheus,60.0,22 19 09,56 04 45,
Sh2-155,Cave Nebula,Dark Nebula,Cepheus,40.0,22 57 54,62 31 06,
Sh2-157,Lobster Claw Nebula,Wolf-Rayet Nebula,Cassiopeia,70.0,23 16 04,60 02 06,
Sh2-158,Northern Lagoon Nebula,Emission Nebula,Cepheus,8.0,23 13 37,61 30 00,
Sh2-173,Phantom of the Opera Nebula,Emission Nebula,Cassiopeia,25.0,00 21 16,61 43 30,
Sh2-174,Valentine Rose Nebula,Planetary Nebula,Cepheus,10.0,23 47 08,80 49 22,14.7
Sh2-188,Dolphin Nebula,Planetary Nebula,Cassiopeia,9.0,01 30 33,58 24 51,17.4
Sh2-200,HDW 2,Planetary Nebula,Cassiopeia,6.0,03 11 01,62 47 45,
Sh2-223,Sh2-223,Emission Nebula,Auriga,90.0,05 17 18,42 12 00,
Sh2-224,Sh2-224,Supernova Remnant,Auriga,60.0,05 26 36,42 55 00,
Sh2-240,Simeis 147 or Spaghetti Nebula,Supernova Remnant,Taurus,180.0,05 41 06,28 05 00,
Sh2-254,Mushroom Nebula,Emission Nebula,Orion,20.0,06 11 59,18 03 18,
Sh2-261,Lower's Nebula,Emission Nebula,Orion,45.0,06 08 36,15 47 00,
Sh2-301,Teapot Nebula,Emission Nebula,Canis Major,9.0,07 09 54,-18 29 53,
Sh2-302,Snowman Nebula,Emission Nebula,Puppis,30.0,07 31 32,-16 59 10,
Sh2-308,Gourd Nebula,Emission Nebula,Canis Major,60.0,06 54 00,-23 56 00,6.9
Sh2-313,Abell 35,Planetary Nebula,Hydra,16.0,12 53 41,-22 51 42,9.7
Simeis 57,Propeller Nebula,Emission Nebula,Cygnus,20.0,20 16 10,43 40 11,
vdB 126,Loch Ness Nebula,Reflection Nebula,Vulpecula,100.0,19 26 11,22 45 17,8.7
vdB 141,Ghost Nebula,Reflection Nebula,Cepheus,20.0,21 16 27,68 15 52,10.8
vdB 150,Shark Nebula,Reflection Nebula,Cepheus,11.0,22 09 40,+73 23 25,8.4
vdB 152,Wolf's Cave,Reflection Nebula,Cepheus,60.0,22 14 02,69 56 00,9.3
vdB 31,Blackbird Nebula,Reflection Nebula,Auriga,40.0,04 55 46,30 33 38,7.1
Vela Bridge,Vela Bridge Nebula,Supernova Remnant,Vela,60.0,08 37 39,-42 59 21,
Vela Pencil,Vela Pencil Nebula,Supernova Remnant,Vela,30.0,09 00 16,-45 56 30,
Vela Spiral Flame,Vela SNR,Supernova Remnant,Vela,60.0,08 54 21,-43 50 43,
WR 134,WR 134,Wolf-Rayet Nebula,Cygnus,25.0,20 10 00,36 11 00,8.1
