name,description,type,constellation,size,ra,dec
NGC 7086,OCL 214,Open Cluster,Cygnus,9.0,21 30.5,+51 35
NGC 7128,OCL 218,Open Cluster,Cygnus,3.0,21 44,+53 43
NGC 7142,OCL 241,Open Cluster,Cepheus,4.0,21 45.9,+65 48
NGC 7160,OCL 236,Open Cluster,Cepheus,7.0,21 53.7,+62 36
NGC 7209,OCL 215,Open Cluster,Lacerta,25.0,22 5.2,+46 30
NGC 7217,UGC 11914,Galaxy,Pegasus,3.7,22 7.9,+31 22
NGC 7243,OCL 221,Open Cluster,Lacerta,21.0,22 15.3,+49 53
NGC 7296,OCL 228,Open Cluster,Lacerta,4.0,22 28.2,+52 17
NGC 7331,UGC 12113,Galaxy,Pegasus,10.7,22 37.1,+34 25
NGC 7380,OCL 244,Cluster Nebulosity,Cepheus,25.0,22 47,+58 6
NGC 7448,UGC 12294,Galaxy,Pegasus,2.7,23 0.1,+15 59
NGC 7479,UGC 12343,Galaxy,Pegasus,4.1,23 4.9,+12 19
NGC 7510,OCL 256,Open Cluster,Cepheus,4.0,23 11.5,+60 34
NGC 7606,MCG 2-59-12,Galaxy,Aquarius,5.8,23 19.1,-8 29
NGC 7662,PK 106-17.1,Planetary Nebula,Andromeda,2.2,23 25.9,+42 33
NGC 7686,OCL 251,Open Cluster,Andromeda,15.0,23 30.2,+49 8
NGC 7723,MCG 2-60-5,Galaxy,Aquarius,3.6,23 38.9,-12 58
NGC 7727,MCG 2-60-8,Galaxy,Aquarius,4.2,23 39.9,-12 18
NGC 7789,OCL 269,Open Cluster,Cassiopeia,16.0,23 57,+56 44
NGC 7790,OCL 276,Open Cluster,Cassiopeia,17.0,23 58.4,+61 13
NGC 7814,UGC 8,Galaxy,Pegasus,6.3,0 3.3,+16 9
